entity,probability,avg_position,rrf_score,run_count,sentiment
ActiveCampaign,100.0,1.88,98.59,8,positive
Klaviyo,100.0,10.75,86.52,8,positive
Mailchimp,100.0,11.75,85.3,8,positive
Omnisend,100.0,13.25,83.55,8,positive
Abandoned Cart Recovery,75.0,1.0,75.0,6,positive
Brevo,75.0,3.33,72.25,6,positive
Purchase Follow,87.5,16.86,69.57,7,positive
Welcome Series,87.5,20.29,66.72,7,positive
Drip,62.5,6.4,57.42,5,positive
Enhanced Personalization,62.5,8.2,55.92,5,positive
Product Recommendations,62.5,15.0,50.91,5,positive
Cost Savings,50.0,4.75,47.11,4,positive
Browse Abandonment Emails,37.5,4.0,35.75,3,neutral
Driven Insights,37.5,6.0,34.66,3,positive
Increased Customer Retention,37.5,11.67,31.94,3,positive
Sendinblue,37.5,22.33,27.81,3,neutral
Email Automation,25.0,8.0,22.43,2,positive
Increased Conversion Rates,25.0,9.0,22.12,2,neutral
Higher Conversion Rates,25.0,10.0,21.8,2,positive
HubSpot,25.0,11.0,21.5,2,neutral
MailerLite,25.0,12.0,21.2,2,positive
Key Benefits,25.0,15.0,20.33,2,positive
Popular Email Automation Tools,25.0,16.5,19.96,2,positive
Replenishment Reminders,25.0,18.0,19.6,2,neutral
Resource Efficiency,25.0,20.0,19.09,2,positive
Stock Notifications,25.0,20.5,18.98,2,positive
Streamlined Communication,25.0,23.0,18.42,2,neutral
Abandoned Cart,12.5,1.0,12.5,1,positive
Anniversary Emails,12.5,3.0,12.1,1,positive
Automated Email Flows,12.5,3.0,12.1,1,neutral
Best Practices,12.5,3.0,12.1,1,positive
Checkout Recovery,12.5,4.0,11.91,1,neutral
Common Automated Email Flows,12.5,4.0,11.91,1,neutral
Boosted Sales,12.5,4.0,11.91,1,neutral
Consistent Customer Journeys,12.5,4.0,11.91,1,neutral
Data Collection,12.5,5.0,11.73,1,neutral
Improved Customer Loyalty,12.5,6.0,11.55,1,neutral
Define Clear Goals,12.5,6.0,11.55,1,positive
Customer Emails,12.5,6.0,11.55,1,positive
Email Automation Platforms,12.5,7.0,11.38,1,positive
GetResponse,12.5,8.0,11.21,1,neutral
Higher Sales,12.5,9.0,11.05,1,positive
Email Automation Flows,12.5,9.0,11.05,1,positive
Improved Conversion Rates,12.5,9.0,11.05,1,positive
Improved Upselling,12.5,10.0,10.89,1,neutral
Maropost Marketing Cloud,12.5,10.0,10.89,1,neutral
Improved Customer Retention,12.5,10.0,10.89,1,positive
Ensure Compliance,12.5,10.0,10.89,1,neutral
Feedback Requests,12.5,11.0,10.74,1,neutral
Essential Automated Email Flows,12.5,11.0,10.74,1,neutral
Higher Revenue,12.5,12.0,10.59,1,positive
Improved Customer Engagement,12.5,13.0,10.45,1,positive
Increased Efficiency,12.5,14.0,10.3,1,neutral
Personalized Product Recommendations,12.5,15.0,10.17,1,positive
Streamlined Customer Communication,12.5,18.0,9.78,1,neutral
Map Customer Journeys,12.5,18.0,9.78,1,neutral
Stock Alerts,12.5,18.0,9.78,1,neutral
Resource Savings,12.5,18.0,9.78,1,positive
Personalize Content,12.5,20.0,9.53,1,neutral
Popular Email Automation Platforms,12.5,21.0,9.41,1,positive
Segment Your Audience,12.5,24.0,9.08,1,neutral
Special Occasion Emails,12.5,26.0,8.87,1,neutral
Upsell Emails,12.5,28.0,8.66,1,neutral
